User-ID,Location-IP
47402045,重庆
158619698,广东
76839451,浙江
150028667,陕西
56926782,北京
149216015,北京
50569932,陕西
159018830,重庆
30731475,中国澳门
153242133,北京
3538572,上海
62586267,山东
241832869,广东
264824304,辽宁
27561469,湖北
52901958,陕西
59649901,青海
4051137,北京
166709193,河北
133871166,广东
192318185,安徽
5675912,上海
139668966,江苏
47458734,北京
146104953,江苏
53412564,黑龙江
47734050,天津
115793488,广东
125437230,上海
68171371,广东
56956077,吉林
3524581,广东
1176160,上海
78790557,上海
42355569,浙江
57227721,广西
192063838,山东
2180542,上海
1003472,河南
2777850,上海
2002751,上海
125370183,天津
120187432,上海
64171838,江苏
1440903,北京
183223186,加拿大
159896248,广东
88240952,福建
2968022,内蒙古
145498639,福建
173817326,广西
140115055,北京
1613448,辽宁
48742705,四川
1004908,福建
41168593,广东
1075651,四川
48590623,广东
91861360,四川
206291086,美国
152212261,浙江
4561720,上海
3931478,浙江
63115912,河北
60550125,重庆
51156170,福建
63829316,安徽
1170224,广东
69999971,北京
83885200,云南
152061729,广东
74342889,北京
51894701,福建
53126862,浙江
273619044,湖南
48340177,北京
36250262,海南
2130962,重庆
1187356,上海
5951722,上海
4652123,海南
190374936,北京
1222325,北京
76317126,北京
181096809,山东
3497572,浙江
80918654,江苏
2120065,北京
113298743,北京
68724331,上海
3627289,江苏
60775722,广东
197653731,湖北
134050241,北京
102623235,北京
46481551,北京
47738965,福建
69174779,上海
2399942,北京
72888029,北京
179697496,福建
191198532,江苏
2577734,北京
161147127,浙江
51686878,上海
155703172,北京
162395934,四川
1877382,北京
1818238,中国澳门
210080236,内蒙古
61774653,广东
156351372,福建
41375338,北京
1961170,马来西亚
50094519,江苏
1983358,上海
187266648,广东
257296876,青海
170840646,北京
80199247,湖南
3644538,上海
168757140,江苏
1019694,四川
256415486,四川
161335886,辽宁
181532671,福建
140345244,北京
1204085,上海
172771750,河南
71463174,上海
133677980,浙江
1819973,重庆
207213206,北京
137063847,陕西
263470740,江苏
183816493,浙江
134871709,广东
9499855,山西
48939449,福建
151086469,广东
175517073,山东
220320626,北京
1399116,北京
54703213,上海
151950813,英国
256779434,广东
57431405,四川
6797539,重庆
165289252,河南
1239443,中国香港
219457297,北京
1928576,江苏
46493791,重庆
56927848,浙江
2329896,广东
132042024,北京
1284027,北京
154821597,广东
4187023,北京
51104504,山东
249829306,山东
128061443,安徽
199190645,陕西
62957094,上海
2669804,北京
83816900,上海
77643763,湖北
257827831,广东
176482334,北京
180644622,北京
