isbn,title,author,year,publisher,genre
9787208188549,空气与梦想,(法)加斯东·巴什拉(GastonBachelard),2024,上海人民出版社,1
9787508671079,哲学·科学·常识,陈嘉映,2018,中信出版社,1
9787305226823,现代性,汪民安,2020,南京大学出版社,1
9787208167513,认识世界：古代与中世纪哲学,[德]理查德·大卫·普莱希特,2021,上海人民出版社,1
9787542682529,世界哲学史（全新修订版）,[德]汉斯·约阿西姆·施杜里希,2023,上海三联书店,1
9787208187092,后现代道德,[法]让-弗朗索瓦·利奥塔,2024,上海人民出版社,1
9787221158734,中国哲学十九讲,牟宗三,2020,贵州人民出版社,1
9787542654632,世俗时代,[加拿大]查尔斯·泰勒,2016,上海三联书店,1
9787556125913,西西弗神话,（法）阿尔贝·加缪,2021,浦睿文化,1
9787573005687,《资本论》的读法,杨照,2022,海南出版社,1
9787553521428,现象学导论,[美]罗伯特·索科拉夫斯基,2021,上海文化出版社,1
9787532157617,事件,[斯洛文尼亚]斯拉沃热·齐泽克,2016,上海文艺出版社,1
9787560450452,感性生活,[法]皮埃尔·马舍雷,2022,西北大学出版社,1
9787100090902,康德的先验观念论,[美]亨利·E.阿利森,2014,商务印书馆,1
9787572610912,太白金星有点烦,马伯庸,2023,湖南文艺出版社,1
9787536692930,三体,刘慈欣,2008,重庆出版社,2
9787208183360,魔戒,[英]J.R.R.托尔金,2023,上海人民出版社,2
9787229105136,迷雾之子1,[美]布兰登·山德森,2016,重庆出版社,2
9787229056810,冰与火之歌·卷四·群鸦的盛宴（上）,乔治·马丁,2012,重庆出版社,2
9787549621149,碟形世界2：实习女巫和小小自由人,[英]特里·普拉切特,2017,文汇出版社,2
9789572674826,葬送的芙莉蓮05,山田鐘人,2022,葬送的芙莉蓮,2
9787505740570,七根凶简,尾鱼,2017,中国友谊出版公司,2
9787544270472,阴阳师典藏合集,(日)梦枕貘,2020,南海出版公司,2
9786260205225,ONE-PUNCHMAN一拳超人29,ONE,2024,ONE-PUNCHMAN一拳超人,2
9787513351850,孤岛的来访者,[日]方丈贵惠,2023,新星出版社,2
9787549641802,女佣异闻,[日]乙一,2024,文汇出版社,2
9787557029807,天官赐福,墨香铜臭,2023,广东旅游出版社,2
9787544715232,奥杜邦的祈祷,(日)伊坂幸太郎,2011,译林出版社,2
9787229123772,猎魔人6：雨燕之塔,[波兰]安德烈·斯帕克沃斯基,2017,重庆出版社,2
9787571610807,青灯怪谈,[日]冈本绮堂,2020,沈阳出版社,2
9789571056586,十二國記1,小野不由美,2014,十二國記（新版）,2
9789571056593,十二國記2,小野不由美,2014,十二國記（新版）,2
9787536493957,炼金术战争：崛起,[美]伊恩·特里吉利斯,2020,四川科学技术出版社,2
9787308163347,轻装旅行,[芬兰]托芙·扬松,2016,浙江大学出版社,2
9787220135224,中世纪史诗与浪漫主义,[德]威廉·瓦格纳纂,2024,四川人民出版社,2
9787513353946,OVERLORD.8,[日]丸山黄金,2024,新星出版社,2
9784088826127,サマータイムレンダ13,田中靖規,2021,サマータイムレンダ,2
9787559416735,北欧众神,[英]尼尔·盖曼,2018,江苏凤凰文艺出版社,2
9787505724655,庆余年·陆,猫腻,2008,中国友谊出版公司,2
9786263603110,通靈童子愛藏版32,武井宏之,2023,通靈童子愛藏版,2
9789571057118,十二國記3,小野不由美,2014,十二國記（新版）,2
9787806572672,魔戒（第三部）,托尔金,2001,译林出版社,2
9787806226148,吸血鬼,[法]JeanMarigny,1999,上海书店出版社,2
9789571090054,十二國記15,小野不由美,2020,十二國記（新版）,2
9787108012586,射雕英雄传,金庸,1999,生活·读书·新知三联书店,2
9787541151293,变化的位面,[美]厄休拉·勒古恩,2018,四川文艺出版社,2
9787559813268,翅鬼,双雪涛,2019,广西师范大学出版社,2
9787539932682,紫川（全五册）,老猪,2010,江苏文艺出版社,2
9787020120215,李国文评注酉阳杂俎,段成式,2017,人民文学出版社,2
9787549263233,大王饶命5,会说话的肘子,2019,长江出版社,2
9787544297165,河流引路人之死,理查德·弗兰纳根,2022,南海出版公司,2
9787532184422,宛转环,慕明,2023,上海文艺出版社,2
9786267073094,克蘇魯的呼喚,H.P.洛夫克拉夫特,2022,NAZOMAN,2
9787545475364,古陆双星,苏学军,2021,广东经济出版社,2
9787539992471,玛格丽特小镇,[美]加·泽文,2016,江苏凤凰文艺出版社,2
9787229058913,冰与火之歌·卷五·魔龙的狂舞（下）,(美)乔治R.R.马丁|译者,2013,重庆出版社,2
9784757736368,イムリ1巻,三宅乱丈,2007,イムリ,2
9787229145781,血与火（第一卷）,[美]乔治·R·R·马丁,2020,重庆出版社,2
9789572646663,進擊的巨人30,諫山創,2020,進擊的巨人,2
9789572647479,咒術迴戰9,芥見下々,2020,咒術迴戰,2
9787508665085,草原动物园,马伯庸,2017,中信出版社,2
9787572614170,和离,九鹭非香,2023,湖南文艺出版社,2
9787534050640,一人之下,米二,2016,浙江人民美术出版社,2
9787600668182,茅山后裔（全4册）,大力金刚掌,2009,茅山后裔,2
9787549641901,恐怖呢喃,贵志祐介,2024,文汇出版社,2
9787544280020,你想活出怎样的人生,[日]吉野源三郎,2019,南海出版公司,3
9787530215593,活着,余华,2017,北京十月文艺出版社,3
9787513348744,第七天,余华,2023,新星出版社,3
9787530212004,平凡的世界,路遥,2012,北京十月文艺出版社,3
9787533946630,丰乳肥臀,莫言,2017,浙江文艺出版社,3
9787532741922,刀锋,[英]毛姆,2007,上海译文出版社,3
9787020035250,沧浪之水,阎真,2001,人民文学出版社,3
9787544787352,挽救计划,[美]安迪·威尔,2021,译林出版社,3
9787532762897,小径分岔的花园,[阿根廷]豪·路·博尔赫斯,2015,上海译文出版社,3
9787208186231,我曾是一名饲养员,苍海,2024,上海人民出版社,3
9787208186941,一千种绿，一万种蓝,[印度]安努拉达·洛伊,2024,上海人民出版社,3
9787544798471,登春台,格非,2024,译林出版社,3
9787544280907,世上最美的溺水者,[哥伦比亚]加西亚·马尔克斯,2015,南海出版公司,3
9787532189526,大地中心的人,童末,2024,上海文艺出版社,3
9787563397655,孽子,白先勇,2010,广西师范大学出版社,3
9787559673084,孤独鸽,[美]拉里·麦克默特里,2024,北京联合出版公司,3
9787020132003,离开的，留下的,[意]埃莱娜·费兰特,2017,人民文学出版社,3
